line_a,line_b,overlap,kmer,k,section
ašag[field]n_gi[thicket]n_mah[great]v/i,ašag[field]n_us[side]n_gid[long]v/i,2,field,5,1
ašag[field]n_us[side]n_gid[long]v/i,ašag[field]n_kag[mouth]n_mun[salt]v/i,2,field,5,1
ašag[field]n_kag[mouth]n_mun[salt]v/i,ašag[field]n_mah[great]v/i,2,field,5,1
ašag[field]n_mah[great]v/i,ašag[field]n_{d}nin-unug[na]na,2,field,5,1
ašag[field]n_{d}nin-unug[na]na,ašag[field]n_ki-tur[na]na,2,field,5,1
ašag[field]n_ki-tur[na]na,ašag[field]n_anaŋ[drink]n_utu[1]dn,2,field,5,1
ašag[field]n_anaŋ[drink]n_utu[1]dn,ašag[field]n_ambar-zag-lu₂-si[na]na,2,field,5,1
ašag[field]n_ambar-zag-lu₂-si[na]na,ašag[field]n_ambar[reed-bed]n_enki[1]dn,2,field,5,1
ašag[field]n_ambar[reed-bed]n_enki[1]dn,ašag[field]n_ma-suhur[na]na,2,field,5,1
ašag[field]n_ma-suhur[na]na,ašag[field]n_mada[land]n_mungen[1]gn,2,field,5,1
ašag[field]n_mada[land]n_mungen[1]gn,ašag[field]n_sila[lamb]n,2,field,5,1
ašag[field]n_sila[lamb]n,ašag[field]n_zi-ib-na-tum[na]na,2,field,5,1
ašag[field]n_zi-ib-na-tum[na]na,ašag[field]n_keš₂-keš₂[na]na,2,field,5,1
ašag[field]n_keš₂-keš₂[na]na,ašag[field]n_igi[eye]n_bar[cvve]v/t,2,field,5,1
ašag[field]n_igi[eye]n_bar[cvve]v/t,ašag[field]n_par[canal]n_usan[whip]n,2,field,5,1
ašag[field]n_par[canal]n_usan[whip]n,ašag[field]n_a-kun-ŋa₂[na]na,2,field,5,1
ašag[field]n_a-kun-ŋa₂[na]na,ašag[field]n_a[water]n_sumur[angry]v/i,2,field,5,1
ašag[field]n_a[water]n_sumur[angry]v/i,ašag[field]n_a[water]n_sig[put]v/t,4,field,5,1
ašag[field]n_a[water]n_sig[put]v/t,ašag[field]n_a[water]n_kalag[strong]v/i,4,field,5,1
ašag[field]n_a[water]n_kalag[strong]v/i,ašag[field]n_a[water]n_lu[mix]v/t,4,field,5,1
ašag[field]n_a[water]n_lu[mix]v/t,ašag[field]n_ud[storm]n,2,field,5,1
ašag[field]n_ud[storm]n,ašag[field]n_amaš[sheepfold]n_lil[ghost]n,2,field,5,1
ašag[field]n_amaš[sheepfold]n_lil[ghost]n,ašag[field]n_garaš[leek]n,2,field,5,1
ašag[field]n_garaš[leek]n,ašag[field]n_gambi[crane]n,2,field,5,1
ašag[field]n_gambi[crane]n,ašag[field]n_id[river]n_kur[mountain]n,2,field,5,1
ašag[field]n_id[river]n_kur[mountain]n,ašag[field]n_enlil[1]dn,2,field,5,1
ašag[field]n_enlil[1]dn,ašag[field]n_ninlil[1]dn,3,field,5,1
ašag[field]n_ninlil[1]dn,ašag[field]n_ninurta[1]dn,3,field,5,1
ašag[field]n_ninurta[1]dn,ašag[field]n_nuska[1]dn,3,field,5,1
ašag[field]n_nuska[1]dn,ašag[field]n_šukur[ration]n,2,field,5,1
ašag[field]n_šukur[ration]n,ašag[field]n_šukur[ration]n_agaʾus[soldier]n,4,ration,6,1
ašag[field]n_šukur[ration]n_agaʾus[soldier]n,ašag[field]n_igi[eye]n_u[ten]nu_ŋal[be]v/i,2,field,5,1
ašag[field]n_igi[eye]n_u[ten]nu_ŋal[be]v/i,ašag[field]n_igi[eye]n_ya[five]nu_ŋal[be]v/i,6,field,5,1
ašag[field]n_igi[eye]n_ya[five]nu_ŋal[be]v/i,ašag[field]n_igi[eye]n_limmu[four]nu_ŋal[be]v/i,6,field,5,1
ašag[field]n_igi[eye]n_limmu[four]nu_ŋal[be]v/i,ašag[field]n_igi[eye]n_eš[three]nu_ŋal[be]v/i,6,field,5,1
ašag[field]n_igi[eye]n_eš[three]nu_ŋal[be]v/i,ašag[field]n_šuria[half]n,2,field,5,1
ašag[field]n_šuria[half]n,ašag[field]n_us₂.a.du[border]n,2,field,5,1
ašag[field]n_us₂.a.du[border]n,ašag[field]n_dalbana[space]n,2,field,5,1
ašag[field]n_dalbana[space]n,ašag[field]n_ŋarim[meadow]n,2,field,5,1
ašag[field]n_ŋarim[meadow]n,ašag[field]n_ŋarim[meadow]n_tur[small]v/i,4,meadow,6,1
ašag[field]n_ŋarim[meadow]n_tur[small]v/i,ašag[field]n_ŋarim[meadow]n_gal[big]v/i,4,meadow,6,1
ašag[field]n_ŋarim[meadow]n_gal[big]v/i,ašag[field]n_ŋarim[meadow]n_murub[middle]n,4,meadow,6,1
ašag[field]n_ŋarim[meadow]n_murub[middle]n,ašag[field]n_ŋarim[meadow]n_saŋ[head]n_an[sky]n,4,meadow,6,1
ašag[field]n_ŋarim[meadow]n_saŋ[head]n_an[sky]n,ašag[field]n_ŋarim[meadow]n_kita[lower]aj,4,meadow,6,1
ašag[field]n_ŋarim[meadow]n_kita[lower]aj,ašag[field]n_kindar[hole]n,2,field,5,1
ašag[field]n_kindar[hole]n,ašag[field]n_kiʾuš[waste]n,2,field,5,1
ašag[field]n_kiʾuš[waste]n,ašag[field]n_kislah[land]n,2,field,5,1
ašag[field]n_kislah[land]n,ašag[field]n_|ki.ud|[na]na,2,field,5,1
ašag[field]n_|ki.ud|[na]na,ašag[field]n_|ki.ud|[na]na,3,|ki.ud|,7,1
ašag[field]n_|ki.ud|[na]na,ašag[field]n_|ki.kal|[na]na,2,field,5,1
ašag[field]n_|ki.kal|[na]na,ašag[field]n_suhub[tread]v/t,2,field,5,1
ašag[field]n_suhub[tread]v/t,ašag[field]n_gud[ox]n_suhub[~oxen]n,3,field,5,1
ašag[field]n_gud[ox]n_suhub[~oxen]n,ašag[field]n_nimur[ashes]n,2,field,5,1
ašag[field]n_nimur[ashes]n,ašag[field]n_zar-pu₂-pu₂[na]na,2,field,5,1
ašag[field]n_zar-pu₂-pu₂[na]na,ašag[field]n_al[hoe]n_ak[do]v/t,2,field,5,1
ašag[field]n_al[hoe]n_ak[do]v/t,ašag[field]n_kiŋ[work]v/t_ak[do]v/t,4,field,5,1
ašag[field]n_kiŋ[work]v/t_ak[do]v/t,ašag[field]n_tugsaga[plow]n_ak[do]v/t,4,field,5,1
ašag[field]n_tugsaga[plow]n_ak[do]v/t,ašag[field]n_niŋgul[hatchet]n_ak[do]v/t,4,field,5,1
ašag[field]n_niŋgul[hatchet]n_ak[do]v/t,ašag[field]n_ku₇-ak[na]na,2,field,5,1
ašag[field]n_ku₇-ak[na]na,ašag[field]n_ŋeš[tree]n_ur[drag]v/t,2,field,5,1
ašag[field]n_ŋeš[tree]n_ur[drag]v/t,ašag[field]n_ŋeš[tree]n_gi[turn]v/i,4,field,5,1
ašag[field]n_ŋeš[tree]n_gi[turn]v/i,ašag[field]n_ŋeš[tree]n_peš[three]nu,4,field,5,1
ašag[field]n_ŋeš[tree]n_peš[three]nu,ašag[field]n_še[barley]n_mu[grow]v/t,2,field,5,1
ašag[field]n_še[barley]n_mu[grow]v/t,ašag[field]n_še[barley]n_mu[grow]v/t,6,barley,6,1
ašag[field]n_še[barley]n_mu[grow]v/t,ašag[field]n_isin[stalk]n,2,field,5,1
ašag[field]n_isin[stalk]n,ašag[field]n_šub[rush]n_še[barley]n,2,field,5,1
ašag[field]n_šub[rush]n_še[barley]n,ašag[field]n_a[water]n_de[pour]v/t,2,field,5,1
ašag[field]n_a[water]n_de[pour]v/t,ašag[field]n_a[water]n_de[pour]v/t,6,field,5,1
ašag[field]n_a[water]n_de[pour]v/t,ašag[field]n_eria[wasteland]n,2,field,5,1
ašag[field]n_eria[wasteland]n,ašag[field]n_še[barley]n_nim[high]v/i,2,field,5,1
ašag[field]n_še[barley]n_nim[high]v/i,ašag[field]n_še[barley]n_sig[weak]v/i,4,barley,6,1
ašag[field]n_še[barley]n_sig[weak]v/i,ašag[field]n_a[water]n_ma[ship]n_ur[drag]v/t,2,field,5,1
ašag[field]n_a[water]n_ma[ship]n_ur[drag]v/t,ašag[field]n_a[water]n_ma[ship]n_su[sink]v/t,6,field,5,1
ašag[field]n_a[water]n_ma[ship]n_su[sink]v/t,ašag[field]n_dud[mound]n,2,field,5,1
ašag[field]n_dud[mound]n,ašag[field]n_dud[mound]n_suen[1]dn,4,field,5,1
ašag[field]n_dud[mound]n_suen[1]dn,ašag[field]n_dud[mound]n_sal[thin]v/i,4,field,5,1
ašag[field]n_dud[mound]n_sal[thin]v/i,ašag[field]n_dud[mound]n_a-du-da[na]na,4,field,5,1
ašag[field]n_dud[mound]n_a-du-da[na]na,ašag[field]n_dud[mound]n_urmah[lion]n,4,field,5,1
ašag[field]n_dud[mound]n_urmah[lion]n,ašag[field]n_dud[mound]n_urnig[lioness]n,4,field,5,1
ašag[field]n_dud[mound]n_urnig[lioness]n,ašag[field]n_dud[mound]n_urgir[dog]n,4,field,5,1
ašag[field]n_dud[mound]n_urgir[dog]n,ašag[field]n_dud[mound]n_urbara[wolf]n,4,field,5,1
ašag[field]n_dud[mound]n_urbara[wolf]n,ašag[field]n_dud[mound]n_urki[dog]n,4,field,5,1
ašag[field]n_dud[mound]n_urki[dog]n,ašag[field]n_dud[mound]n_maš-min₃[na]na,4,field,5,1
ašag[field]n_dud[mound]n_maš-min₃[na]na,ašag[field]n_dud[mound]n_šinig[tamarisk]n,4,field,5,1
ašag[field]n_dud[mound]n_šinig[tamarisk]n,ašag[field]n_dud[mound]n_ban₂.hu[animal]n,4,field,5,1
ašag[field]n_dud[mound]n_ban₂.hu[animal]n,ašag[field]n_dud[mound]n_uzud[goat]n,4,field,5,1
ašag[field]n_dud[mound]n_uzud[goat]n,ašag[field]n_dud[mound]n_{d}nin-hur-sag[na]na,4,field,5,1
ašag[field]n_dud[mound]n_{d}nin-hur-sag[na]na,ašag[field]n_kaʾusa[function]n,2,field,5,1
ašag[field]n_kaʾusa[function]n,ašag[field]n_kaʾusa[function]n_enki[1]dn,4,function,8,1
ašag[field]n_kaʾusa[function]n_enki[1]dn,ašag[field]n_kaʾusa[function]n_ninurta[1]dn,5,function,8,1
ašag[field]n_kaʾusa[function]n_ninurta[1]dn,nibru[1]sn,1,ni,2,1
nibru[1]sn,urim[1]sn,1,1,1,1
urim[1]sn,isin[1]sn,1,1,1,1
isin[1]sn,ararma[1]sn,1,1,1,1
ararma[1]sn,unug[1]sn,1,1,1,1
unug[1]sn,adab[1]sn,1,1,1,1
adab[1]sn,kulaba[1]sn,1,ab,2,1
kulaba[1]sn,zimbir[1]sn,1,1,1,1
zimbir[1]sn,zimbir-edina[1]sn,1,zimbir,6,1
zimbir-edina[1]sn,zimbir-uduliʾa[1]sn,1,zimbir-,7,1
zimbir-uduliʾa[1]sn,ešnuna[1]sn,1,1,1,1
ešnuna[1]sn,|ezen×bad|{ki}[na]na,0,e,1,NA
|ezen×bad|{ki}[na]na,|ezen×bad|{ki}[na]na,1,|ezen×bad|{ki},14,2
|ezen×bad|{ki}[na]na,|ezen×bad|{ki}[na]na,1,|ezen×bad|{ki},14,2
|ezen×bad|{ki}[na]na,|ezen×bad|-an{ki}[na]na,0,|ezen×bad|,10,2
|ezen×bad|-an{ki}[na]na,|ezen×bad|-an{ki}[na]na,1,|ezen×bad|-an{ki},17,2
|ezen×bad|-an{ki}[na]na,|ezen×bad|-an-ne₂{ki}[na]na,0,|ezen×bad|-an,13,2
|ezen×bad|-an-ne₂{ki}[na]na,ilib[1]sn,0,i,1,NA
ilib[1]sn,alab[1]sn,1,1,1,3
alab[1]sn,abzab[1]sn,1,ab,2,3
abzab[1]sn,|a.ha|{ki}[na]na,0,a,1,NA
|a.ha|{ki}[na]na,tuba[1]sn,0,a,1,NA
tuba[1]sn,kuʾara[1]sn,1,1,1,4
kuʾara[1]sn,ašte[1]sn,1,1,1,4
ašte[1]sn,sugi[1]sn,1,1,1,4
sugi[1]sn,ambar[1]sn,1,1,1,4
ambar[1]sn,tešbi[1]sn,1,1,1,4
tešbi[1]sn,hazabur[1]sn,1,1,1,4
hazabur[1]sn,šami[1]sn,1,1,1,4
šami[1]sn,unknown,0,NA,0,NA
unknown,haš[1]sn,0,NA,0,NA
haš[1]sn,waṣit[1]sn,1,1,1,5
waṣit[1]sn,maṣit[1]sn,1,aṣit,4,5
maṣit[1]sn,muru[1]sn,1,1,1,5
muru[1]sn,enegi[1]sn,1,1,1,5
enegi[1]sn,karkara[1]sn,1,1,1,5
karkara[1]sn,apiʾak[1]sn,1,1,1,5
apiʾak[1]sn,apisal[1]sn,1,api,3,5
apisal[1]sn,eš[1]sn,1,1,1,5
eš[1]sn,awal[1]sn,1,1,1,5
awal[1]sn,akšak[1]sn,1,1,1,5
akšak[1]sn,umma[1]sn,1,1,1,5
umma[1]sn,niŋin[1]sn,1,1,1,5
niŋin[1]sn,sirara[1]sn,1,1,1,5
sirara[1]sn,lagaš[1]sn,1,1,1,5
lagaš[1]sn,kinirša[1]sn,1,1,1,5
kinirša[1]sn,kiʾabrig[1]sn,1,ki,2,5
kiʾabrig[1]sn,e-lugal[1]sn,1,1,1,5
e-lugal[1]sn,e-dumusal-lugal[1]sn,1,-lugal,6,5
e-dumusal-lugal[1]sn,e-danna[1]sn,1,e-d,3,5
e-danna[1]sn,e-tukul[1]sn,1,e-,2,5
e-tukul[1]sn,e-ŋešpu[1]sn,1,e-,2,5
e-ŋešpu[1]sn,e-sadma[1]sn,1,e-,2,5
e-sadma[1]sn,lugal-anzud[1]sn,1,1,1,5
lugal-anzud[1]sn,anzud-babbar[1]sn,1,anzud,5,5
anzud-babbar[1]sn,anzud-kukku[1]sn,1,anzud-,6,5
anzud-kukku[1]sn,zarbubu[1]sn,1,1,1,5
zarbubu[1]sn,zar-mama[1]sn,1,zar,3,5
zar-mama[1]sn,iri-zuluma[1]sn,1,ma,2,5
iri-zuluma[1]sn,uzarbara[1]sn,1,1,1,5
uzarbara[1]sn,uzarsuhar[1]sn,1,uzar,4,5
uzarsuhar[1]sn,uzariaʾu[1]sn,1,uzar,4,5
uzariaʾu[1]sn,hiza[1]sn,1,za,2,5
hiza[1]sn,kiš[1]sn,1,1,1,5
kiš[1]sn,e-du-daba[1]sn,1,1,1,5
e-du-daba[1]sn,hi-gar{ki}[na]na,0,-,1,NA
hi-gar{ki}[na]na,muš₃-pa-e₃-a{ki}[na]na,0,{ki},4,6
muš₃-pa-e₃-a{ki}[na]na,guduʾa[1]sn,0,u,1,NA
guduʾa[1]sn,kar-guduʾa[1]sn,1,guduʾa,6,7
kar-guduʾa[1]sn,nibru-kidug[1]sn,1,du,2,7
nibru-kidug[1]sn,x-bu-um{ki}[na]na,0,u-,2,NA
x-bu-um{ki}[na]na,|gir₃×x|-da-šu{ki}[na]na,0,{ki},4,8
|gir₃×x|-da-šu{ki}[na]na,ka-lulal[1]sn,0,a-,2,NA
ka-lulal[1]sn,ka-diŋira[babylon]sn,0,ka-,3,9
ka-diŋira[babylon]sn,ka-iminbi[1]sn,0,ka-,3,9
ka-iminbi[1]sn,mekeltum[1]sn,1,1,1,9
mekeltum[1]sn,ragatum[1]sn,1,tum,3,9
ragatum[1]sn,rapikum[1]sn,1,ra,2,9
rapikum[1]sn,ašširpada[1]sn,1,1,1,9
ašširpada[1]sn,malgiʾa[1]sn,1,1,1,9
malgiʾa[1]sn,iri-ŋa₂-aš{ki}[na]na,0,i,1,NA
iri-ŋa₂-aš{ki}[na]na,iri-gutar-la[1]sn,0,iri-,4,10
iri-gutar-la[1]sn,iri-kug[1]sn,1,iri-,4,10
iri-kug[1]sn,iri-gibil[1]sn,1,iri-,4,10
iri-gibil[1]sn,iri-sumun[1]sn,1,iri-,4,10
iri-sumun[1]sn,iri-libira[1]sn,1,iri-,4,10
iri-libira[1]sn,iri-uliʾa[1]sn,1,iri-,4,10
iri-uliʾa[1]sn,iri-hula[1]sn,1,iri-,4,10
iri-hula[1]sn,huhunuri[1]sn,1,hu,2,10
huhunuri[1]sn,bit-kibbi[1]sn,1,1,1,10
bit-kibbi[1]sn,gupin[1]gn,1,1,1,10
gupin[1]gn,arawa[1]sn,1,1,1,10
arawa[1]sn,zabšali[1]sn,1,1,1,10
zabšali[1]sn,magan[1]gn,1,1,1,10
magan[1]gn,meluhha[1]gn,1,1,1,10
meluhha[1]gn,maškan[1]gn,1,1,1,10
maškan[1]gn,maškan-šapir[1]sn,1,maškan,6,10
maškan-šapir[1]sn,maškan-buša[1]sn,1,maškan-,7,10
maškan-buša[1]sn,zarbilum[1]sn,1,1,1,10
zarbilum[1]sn,sarbat[1]sn,1,arb,3,10
sarbat[1]sn,arbad[1]sn,1,arba,4,10
arbad[1]sn,keš[1]sn,1,1,1,10
keš[1]sn,lugal-suen[1]sn,1,1,1,10
lugal-suen[1]sn,iamutbalum[1]gn,1,al,2,10
iamutbalum[1]gn,mutiabal[1]sn,1,mut,3,10
mutiabal[1]sn,isin-šulgi[1]sn,1,1,1,10
isin-šulgi[1]sn,šulgi-nanna[1]sn,1,šulgi,5,10
šulgi-nanna[1]sn,guʾabak[1]sn,1,1,1,10
guʾabak[1]sn,simurru[1]sn,1,1,1,10
simurru[1]sn,anšan[1]sn,1,1,1,10
anšan[1]sn,du@s{ki}[na]na,0,NA,0,NA
du@s{ki}[na]na,ibratum[1]sn,0,i,1,NA
ibratum[1]sn,ebla[1]sn,1,1,1,11
ebla[1]sn,diniktum[1]sn,1,1,1,11
diniktum[1]sn,neribtum[1]sn,1,tum,3,11
neribtum[1]sn,abzu-si[1]sn,1,1,1,11
abzu-si[1]sn,mahili[1]sn,1,1,1,11
mahili[1]sn,abarniʾum[1]sn,1,1,1,11
abarniʾum[1]sn,laban-e[1]sn,1,aba,3,11
laban-e[1]sn,marda[1]sn,1,1,1,11
marda[1]sn,kazallu[1]sn,1,1,1,11
kazallu[1]sn,ŋirlum[1]sn,1,lu,2,11
ŋirlum[1]sn,ŋirlum-tur[1]sn,1,ŋirlum,6,11
ŋirlum-tur[1]sn,ŋirlum-gula[1]sn,1,ŋirlum-,7,11
ŋirlum-gula[1]sn,zargi[1]sn,1,1,1,11
zargi[1]sn,zarrama[1]sn,1,zar,3,11
zarrama[1]sn,eduru[village]n,0,r,1,NA
eduru[village]n,eduru[village]n_niŋgina[truth]n,2,village,7,12
eduru[village]n_niŋgina[truth]n,eduru[village]n_baza[dwarf]n,2,village,7,12
eduru[village]n_baza[dwarf]n,eduru[village]n_bisa[1]pn,2,village,7,12
eduru[village]n_bisa[1]pn,eduru[village]n_da-ne-ku{ki}[na]na,2,village,7,12
eduru[village]n_da-ne-ku{ki}[na]na,dintir[babylon]sn,0,a,1,NA
dintir[babylon]sn,kibal-mašda[1]sn,0,i,1,NA
kibal-mašda[1]sn,pada[1]sn,1,da,2,13
pada[1]sn,anzagar[tower]n,0,a,1,NA
anzagar[tower]n,anzagar[tower]n_enlil[1]dn,2,anzagar,7,14
anzagar[tower]n_enlil[1]dn,anzagar[tower]n_dada[1]pn,3,anzagar,7,14
anzagar[tower]n_dada[1]pn,anzagar[tower]n_bubu[1]pn,3,anzagar,7,14
anzagar[tower]n_bubu[1]pn,anzagar[tower]n_gunatila[1]sn,3,anzagar,7,14
anzagar[tower]n_gunatila[1]sn,anzagar[tower]n_urgir[dog]n,2,anzagar,7,14
anzagar[tower]n_urgir[dog]n,nukar[1]sn,0,ar,2,NA
nukar[1]sn,zugulme[1]sn,1,1,1,15
zugulme[1]sn,barsipa[1]sn,1,1,1,15
barsipa[1]sn,barsipa[1]sn,2,barsipa,7,15
barsipa[1]sn,burzi-bahar[1]sn,1,ba,2,15
burzi-bahar[1]sn,nanna[1]sn,1,1,1,15
nanna[1]sn,šaggud[1]sn,1,1,1,15
šaggud[1]sn,akuz[1]sn,1,1,1,15
